date_time,tempC
2019-09-16 21:00:00,33
2019-09-17 00:00:00,31
2019-09-17 03:00:00,31
2019-09-17 06:00:00,33
2019-09-17 09:00:00,38
2019-09-17 12:00:00,40
2019-09-17 15:00:00,39
2019-09-17 18:00:00,36
2019-09-17 21:00:00,32
2019-09-18 00:00:00,30
2019-09-18 03:00:00,29
2019-09-18 06:00:00,30
2019-09-18 09:00:00,35
2019-09-18 12:00:00,37
2019-09-18 15:00:00,34
2019-09-18 18:00:00,31
2019-09-18 21:00:00,29
2019-09-19 00:00:00,28
2019-09-19 03:00:00,26
2019-09-19 06:00:00,27
2019-09-19 09:00:00,31
2019-09-19 12:00:00,32
2019-09-19 15:00:00,32
2019-09-19 18:00:00,30
2019-09-19 21:00:00,29
2019-09-20 00:00:00,28
2019-09-20 03:00:00,27
2019-09-20 06:00:00,29
2019-09-20 09:00:00,28
2019-09-20 12:00:00,33
2019-09-20 15:00:00,33
2019-09-20 18:00:00,31
2019-09-20 21:00:00,29
2019-09-21 00:00:00,29
2019-09-21 03:00:00,28
2019-09-21 06:00:00,30
2019-09-21 09:00:00,34
2019-09-21 12:00:00,35
2019-09-21 15:00:00,35
2019-09-21 18:00:00,33
2019-09-21 21:00:00,31
2019-09-22 00:00:00,30
2019-09-22 03:00:00,29
2019-09-22 06:00:00,29
2019-09-22 09:00:00,32
2019-09-22 12:00:00,31
2019-09-22 15:00:00,30
2019-09-22 18:00:00,29
2019-09-22 21:00:00,28
2019-09-23 00:00:00,27
2019-09-23 03:00:00,27
2019-09-23 06:00:00,29
2019-09-23 09:00:00,32
2019-09-23 12:00:00,33
2019-09-23 15:00:00,32
2019-09-23 18:00:00,30
2019-09-23 21:00:00,28
2019-09-24 00:00:00,27
2019-09-24 03:00:00,27
2019-09-24 06:00:00,28
2019-09-24 09:00:00,30
2019-09-24 12:00:00,33
2019-09-24 15:00:00,32
2019-09-24 18:00:00,29
2019-09-24 21:00:00,28
2019-09-25 00:00:00,27
2019-09-25 03:00:00,27
2019-09-25 06:00:00,29
2019-09-25 09:00:00,33
2019-09-25 12:00:00,35
2019-09-25 15:00:00,33
2019-09-25 18:00:00,31
2019-09-25 21:00:00,29
2019-09-26 00:00:00,27
2019-09-26 03:00:00,26
2019-09-26 06:00:00,28
2019-09-26 09:00:00,29
2019-09-26 12:00:00,32
2019-09-26 15:00:00,31
2019-09-26 18:00:00,30
2019-09-26 21:00:00,28
2019-09-27 00:00:00,26
2019-09-27 03:00:00,25
2019-09-27 06:00:00,27
2019-09-27 09:00:00,29
2019-09-27 12:00:00,31
2019-09-27 15:00:00,30
2019-09-27 18:00:00,28
2019-09-27 21:00:00,27
2019-09-28 00:00:00,26
2019-09-28 03:00:00,25
2019-09-28 06:00:00,26
2019-09-28 09:00:00,29
2019-09-28 12:00:00,28
2019-09-28 15:00:00,30
2019-09-28 18:00:00,29
2019-09-28 21:00:00,27
2019-09-29 00:00:00,25
2019-09-29 03:00:00,24
2019-09-29 06:00:00,25
2019-09-29 09:00:00,26
2019-09-29 12:00:00,30
2019-09-29 15:00:00,29
2019-09-29 18:00:00,27
2019-09-29 21:00:00,26
2019-09-30 00:00:00,25
2019-09-30 03:00:00,24
2019-09-30 06:00:00,25
2019-09-30 09:00:00,30
2019-09-30 12:00:00,32
2019-09-30 15:00:00,32
2019-09-30 18:00:00,29
2019-09-30 21:00:00,27
